z,reference_u0,reference_u1
9.927432785343744820e-03,7.806237204291695398e-322,3.903118602145847699e-322
1.005309649148733789e-02,7.905050333459944707e-322,3.952525166729972353e-322
1.017876019763092922e-02,8.003863462628194016e-322,4.001931731314097008e-322
1.030442390377452055e-02,8.102676591796443324e-322,4.051338295898221662e-322
1.043008760991811189e-02,8.201489720964692633e-322,4.100744860482346317e-322
1.055575131606170322e-02,8.300302850132941942e-322,4.150151425066470971e-322
1.068141502220529629e-02,8.399115979301191251e-322,4.199557989650595626e-322
1.080707872834888762e-02,8.497929108469440560e-322,4.248964554234720280e-322
1.093274243449247896e-02,8.596742237637689869e-322,4.298371118818844934e-322
1.105840614063607029e-02,8.695555366805939178e-322,4.347777683402969589e-322
1.118406984677966162e-02,8.794368495974188486e-322,4.397184247987094243e-322
1.130973355292325469e-02,8.893181625142437795e-322,4.446590812571218898e-322
1.143539725906684602e-02,8.991994754310687104e-322,4.495997377155343552e-322
1.156106096521043736e-02,9.090807883478936413e-322,4.545403941739468206e-322
1.168672467135402869e-02,9.189621012647185722e-322,4.594810506323592861e-322
1.181238837749762176e-02,9.288434141815435031e-322,4.644217070907717515e-322
1.193805208364121309e-02,9.387247270983684339e-322,4.693623635491842170e-322
1.206371578978480442e-02,9.486060400151933648e-322,4.743030200075966824e-322
1.218937949592839576e-02,9.584873529320182957e-322,4.792436764660091479e-322
1.231504320207198709e-02,9.683686658488432266e-322,4.841843329244216133e-322
1.244070690821558016e-02,9.782499787656681575e-322,4.891249893828340787e-322
1.256637061435917149e-02,9.881312916824930884e-322,4.940656458412465442e-322
1.269203432050276283e-02,9.980126045993180192e-322,4.990063022996590096e-322
1.281769802664635416e-02,1.007893917516142950e-321,5.039469587580714751e-322
1.294336173278994723e-02,1.017775230432967881e-321,5.088876152164839405e-322
1.306902543893353856e-02,1.027656543349792812e-321,5.138282716748964059e-322
1.319468914507712989e-02,1.037537856266617743e-321,5.187689281333088714e-322
1.332035285122072123e-02,1.047419169183442674e-321,5.237095845917213368e-322
1.344601655736431256e-02,1.057300482100267605e-321,5.286502410501338023e-322
1.357168026350790563e-02,1.067181795017092535e-321,5.335908975085462677e-322
1.369734396965149696e-02,1.077063107933917466e-321,5.385315539669587332e-322
1.382300767579508829e-02,1.086944420850742397e-321,5.434722104253711986e-322
1.394867138193867963e-02,1.096825733767567328e-321,5.484128668837836640e-322
1.407433508808227096e-02,1.106707046684392259e-321,5.533535233421961295e-322
1.419999879422586403e-02,1.116588359601217190e-321,5.582941798006085949e-322
1.432566250036945536e-02,1.126469672518042121e-321,5.632348362590210604e-322
1.445132620651304670e-02,1.136350985434867052e-321,5.681754927174335258e-322
1.457698991265663803e-02,1.146232298351691982e-321,5.731161491758459912e-322
1.470265361880023110e-02,1.156113611268516913e-321,5.780568056342584567e-322
1.482831732494382243e-02,1.165994924185341844e-321,5.829974620926709221e-322
1.495398103108741376e-02,1.175876237102166775e-321,5.879381185510833876e-322
1.507964473723100510e-02,1.185757550018991706e-321,5.928787750094958530e-322
1.520530844337459643e-02,1.195638862935816637e-321,5.978194314679083185e-322
1.533097214951818950e-02,1.205520175852641568e-321,6.027600879263207839e-322
1.545663585566178083e-02,1.215401488769466499e-321,6.077007443847332493e-322
1.558229956180537217e-02,1.225282801686291430e-321,6.126414008431457148e-322
1.570796326794896350e-02,1.235164114603116360e-321,6.175820573015581802e-322
1.583362697409255657e-02,1.245045427519941291e-321,6.225227137599706457e-322
1.595929068023614616e-02,1.254926740436766222e-321,6.274633702183831111e-322
1.608495438637973923e-02,1.264808053353591153e-321,6.324040266767955765e-322
1.621061809252333230e-02,1.274689366270416084e-321,6.373446831352080420e-322
1.633628179866692190e-02,1.284570679187241015e-321,6.422853395936205074e-322
1.646194550481051497e-02,1.294451992104065946e-321,6.472259960520329729e-322
1.658760921095410457e-02,1.304333305020890877e-321,6.521666525104454383e-322
1.671327291709769763e-02,1.314214617937715808e-321,6.571073089688579038e-322
1.683893662324129070e-02,1.324095930854540738e-321,6.620479654272703692e-322
1.696460032938488030e-02,1.333977243771365669e-321,6.669886218856828346e-322
1.709026403552847337e-02,1.343858556688190600e-321,6.719292783440953001e-322
1.721592774167206297e-02,1.353739869605015531e-321,6.768699348025077655e-322
1.734159144781565604e-02,1.363621182521840462e-321,6.818105912609202310e-322
1.746725515395924910e-02,1.373502495438665393e-321,6.867512477193326964e-322
1.759291886010283870e-02,1.383383808355490324e-321,6.916919041777451618e-322
1.771858256624643177e-02,1.393265121272315255e-321,6.966325606361576273e-322
1.784424627239002484e-02,1.403146434189140185e-321,7.015732170945700927e-322
1.796990997853361444e-02,1.413027747105965116e-321,7.065138735529825582e-322
1.809557368467720750e-02,1.422909060022790047e-321,7.114545300113950236e-322
1.822123739082079710e-02,1.432790372939614978e-321,7.163951864698074891e-322
1.834690109696439017e-02,1.442671685856439909e-321,7.213358429282199545e-322
1.847256480310798324e-02,1.452552998773264840e-321,7.262764993866324199e-322
1.859822850925157284e-02,1.462434311690089771e-321,7.312171558450448854e-322
