z,hybrid_u0,hybrid_u1,hybrid_u2
1.155530934770519824e+00,1.531867036890845746e-01,3.960782841210550020e-02,-7.469671017915771398e-06
1.186946861306418022e+00,1.638916001887087692e-01,4.271203936948242408e-02,-1.502189517918365760e-05
1.218362787842315997e+00,1.749995933764197931e-01,4.583800345289634759e-02,-2.853555326789848596e-05
1.249778714378213973e+00,1.864990865043375523e-01,4.895959922533719977e-02,-5.142633003773294743e-05
1.281194640914111726e+00,1.983758398780042509e-01,5.204793364849977233e-02,-8.828204064112262135e-05
1.312610567450009702e+00,2.106128767661364642e-01,5.507136912268020129e-02,-1.448994321116036429e-04
1.344026493985907678e+00,2.231904016289841530e-01,5.799558483840593082e-02,-2.281783845625031217e-04
1.375442420521805653e+00,2.360857320689476180e-01,6.078367481521203958e-02,-3.458605614874056956e-04
1.406858347057703629e+00,2.492732458745658686e-01,6.339628471334199378e-02,-5.061287804622617700e-04
1.438274273593601382e+00,2.627243444813142648e-01,6.579178915885004753e-02,-7.171110592330671128e-04
1.469690200129499358e+00,2.764074341094361897e-01,6.792651092236232091e-02,-9.863516741030046477e-04
1.501106126665397333e+00,2.902879257600424756e-01,6.975498283834535851e-02,-1.320315706956071882e-03
1.532522053201295087e+00,3.043282551558884608e-01,7.123025284789648304e-02,-1.723982922993952741e-03
1.563937979737193285e+00,3.184879236026692539e-01,7.230423199764396403e-02,-2.200565186127444867e-03
1.595353906273091482e+00,3.327235606206713769e-01,7.292808463522973406e-02,-2.751355461034610695e-03
1.626769832808989458e+00,3.469890090556703166e-01,7.305265941403840668e-02,-3.375692640651756487e-03
1.658185759344887655e+00,3.612354332227364906e-01,7.262895906336780394e-02,-4.071010151135472099e-03
1.689601685880785631e+00,3.754114504680168829e-01,7.160864620316263751e-02,-4.832929829495983751e-03
1.721017612416683162e+00,3.894632863526587552e-01,6.994458179373438944e-02,-5.655365327559559209e-03
1.752433538952581138e+00,4.033349534711191953e-01,6.759139212040896072e-02,-6.530608567826640988e-03
1.783849465488479114e+00,4.169684537146297609e-01,6.450605953134967707e-02,-7.449385005584735139e-03
1.815265392024376867e+00,4.303040035812039643e-01,6.064853148506427205e-02,-8.400875367018350096e-03
1.846681318560274843e+00,4.432802819180907128e-01,5.598234183394738134e-02,-9.372710881754627021e-03
1.878097245096172818e+00,4.558346992629753736e-01,5.047523768352041307e-02,-1.035095480524459571e-02
1.909513171632070794e+00,4.679036877286042451e-01,4.409980463578017096e-02,-1.132008530251442900e-02
1.940929098167968769e+00,4.794230101540731259e-01,3.683408276110973489e-02,-1.226299429780192303e-02
1.972345024703866523e+00,4.903280870271099490e-01,2.866216525804502271e-02,-1.316101470744586964e-02
2.003760951239764498e+00,5.005543394676631452e-01,1.957477146478044799e-02,-1.399398552620177878e-02
