z,mol_u0,mol_u1,mol_u2
4.948008429403924602e+00,-3.046200893243344865e-01,1.293127743965489795e-01,1.499645347934159267e-01
4.979424355939822355e+00,-2.902336647467609887e-01,1.125063337039257094e-01,1.590019100761000115e-01
5.010840282475720109e+00,-2.760276649393701431e-01,9.616702171958117773e-02,1.664576807674045533e-01
5.042256209011617862e+00,-2.620402755374409143e-01,8.037505523976343214e-02,1.722790518791252057e-01
5.073672135547516504e+00,-2.483065356154578185e-01,6.520213356857358644e-02,1.764335034429766469e-01
5.105088062083414258e+00,-2.348583238793693906e-01,5.071124369631527934e-02,1.789088948709188776e-01
5.136503988619312011e+00,-2.217243658357669345e-01,3.695656229263705184e-02,1.797132727684038478e-01
5.167919915155209765e+00,-2.089302607295451253e-01,2.398345077422220362e-02,1.788743900855232494e-01
5.199335841691108406e+00,-1.964985269441950344e-01,1.182853876071009690e-02,1.764389492338992449e-01
5.230751768227006160e+00,-1.844486644788421725e-01,5.198903947432626654e-04,1.724715862314351311e-01
5.262167694762903913e+00,-1.727972330532965839e-01,-9.922752720875390592e-03,1.670536169829454909e-01
5.293583621298801667e+00,-1.615579443464537357e-01,-1.948765881935050556e-02,1.602815703917357670e-01
5.324999547834699420e+00,-1.507417668438348068e-01,-2.817073083128080954e-02,1.522655360655512935e-01
5.356415474370598062e+00,-1.403570417562842176e-01,-3.597507650208539576e-02,1.431273568818617059e-01
5.387831400906495816e+00,-1.304096084730462235e-01,-4.291053169408740736e-02,1.329986985765872487e-01
5.419247327442393569e+00,-1.209029380277229088e-01,-4.899314492168201085e-02,1.220190297945254049e-01
5.450663253978291323e+00,-1.118382730839934946e-01,-5.424463117460529005e-02,1.103335466795421493e-01
5.482079180514189076e+00,-1.032147729883255843e-01,-5.869180298396723533e-02,9.809107609173964293e-02
5.513495107050087718e+00,-9.502966248812316774e-02,-6.236598648592228678e-02,8.544199093375419440e-02
5.544911033585985471e+00,-8.727838277460309158e-02,-6.530242994726720429e-02,7.253616987748323641e-02
5.576326960121883225e+00,-7.995474357895032691e-02,-6.753971184538885841e-02,5.952103204540959425e-02
5.607742886657780979e+00,-7.305107512674148540e-02,-6.911915515202268767e-02,4.653967496676696819e-02
5.639158813193678732e+00,-6.655837883796994481e-02,-7.008425396691111975e-02,3.372914145607435604e-02
5.670574739729577374e+00,-6.046647574705941997e-02,-7.048011809460261179e-02,2.121883801524037869e-02
5.701990666265475127e+00,-5.476415170780081498e-02,-7.035294056634246174e-02,9.129124011095546970e-03
5.733406592801372881e+00,-4.943929854102874916e-02,-6.974949249018820574e-02,-2.429912697735660265e-03
5.764822519337270634e+00,-4.447905037698830777e-02,-6.871664897678175787e-02,-1.335948174073664160e-02
5.796238445873168388e+00,-3.986991453865769419e-02,-6.730094924583708560e-02,-2.357290968356366007e-02
5.827654372409067030e+00,-3.559789640584770654e-02,-6.554819337899280007e-02,-3.299624861054818031e-02
5.859070298944964783e+00,-3.164861779178256701e-02,-6.350307755718453961e-02,-4.156867323967829153e-02
5.890486225480862537e+00,-2.800742845327355499e-02,-6.120886901326726137e-02,-4.924266955828188880e-02
5.921902152016760290e+00,-2.465951044180969554e-02,-5.870712135055375369e-02,-5.598402135332711249e-02
5.953318078552658044e+00,-2.158997508525863432e-02,-5.603743033158507109e-02,-6.177160413531041644e-02
5.984734005088556685e+00,-1.878395246786438572e-02,-5.323722973420706717e-02,-6.659699877053107397e-02
6.016149931624454439e+00,-1.622667334938135766e-02,-5.034162640829416974e-02,-7.046393960296046255e-02
6.047565858160352192e+00,-1.390354353212873081e-02,-4.738327324964770187e-02,-7.338761393252368759e-02
6.078981784696249946e+00,-1.180021074720952363e-02,-4.439227844014965313e-02,-7.539383139916065735e-02
6.110397711232147699e+00,-9.902624187904477196e-03,-4.139614898666302972e-02,-7.651808308846266837e-02
6.141813637768046341e+00,-8.197086869211453811e-03,-3.841976632605027808e-02,-7.680451102094068561e-02
6.173229564303944095e+00,-6.670301037602422919e-03,-3.548539154979422905e-02,-7.630480911773888930e-02
6.204645490839841848e+00,-5.309406894334990634e-03,-3.261269763804840877e-02,-7.507707676369389238e-02
6.236061417375739602e+00,-4.102014929171266151e-03,-2.981882597782558805e-02,-7.318464573438722420e-02
6.267477343911637355e+00,-3.036232189257743411e-03,-2.711846437113947864e-02,-7.069490054426465220e-02
