z,hybrid_u0,hybrid_u1
1.145353906273092859e+00,1.063419669003641123e-06,-2.779685359192151511e-02
1.176769832808990612e+00,1.534939706180698966e-06,-2.864890074308110157e-02
1.208185759344888810e+00,2.177850115771898931e-06,-2.926341003605623450e-02
1.239601685880787452e+00,3.042653112285452496e-06,-2.959695286764209288e-02
1.271017612416685649e+00,4.192107348903203127e-06,-2.960469544733689701e-02
1.302433538952583625e+00,5.703838124900993331e-06,-2.924101457535744145e-02
1.333849465488481600e+00,7.673444499192320356e-06,-2.846020036654675622e-02
1.365265392024379354e+00,1.021816760316782281e-05,-2.721723949355348351e-02
1.396681318560277330e+00,1.348118724972347498e-05,-2.546866970004937197e-02
1.428097245096175305e+00,1.763661765237212775e-05,-2.317349346085118000e-02
1.459513171632073281e+00,2.289527738325945869e-05,-2.029413582793871546e-02
1.490929098167971256e+00,2.951131300321705017e-05,-1.679742879619800650e-02
1.522345024703869010e+00,3.778975932318405539e-05,-1.265560205364949647e-02
1.553760951239766985e+00,4.809512120429926176e-05,-7.847257854672287647e-03
1.585176877775664961e+00,6.086106142935231286e-05,-2.358306077419453778e-03
1.616592804311562936e+00,7.660127583286943783e-05,3.817165600723320881e-03
1.648008730847460912e+00,9.592163000798181033e-05,1.067611196195515817e-02
1.679424657383358888e+00,1.195336210321521723e-04,1.820586626203807637e-02
1.710840583919256641e+00,1.482692123248447174e-04,2.638361631437696059e-02
1.742256510455154617e+00,1.830970695349043767e-04,3.517604314572852359e-02
1.773672436991052592e+00,2.251401998239934007e-04,4.453914209888038683e-02
1.805088363526950568e+00,2.756949656479516222e-04,5.441824284383908056e-02
1.836504290062848543e+00,3.362514067612232043e-04,6.474824061483697157e-02
1.867920216598746297e+00,4.085147603760777612e-04,7.545404620525622552e-02
1.899336143134644272e+00,4.944280190125999695e-04,8.645125694670451055e-02
1.930752069670542248e+00,5.961953085582723504e-04,9.764704522024769684e-02
1.962167996206440224e+00,7.163058056135197761e-04,1.089412551689157571e-01
1.993583922742338199e+00,8.575578437903095446e-04,1.202276923901870742e-01
2.024999849278235065e+00,1.023082784020429119e-03,1.313955856845789028e-01
2.056415775814130598e+00,1.216368145230937742e-03,1.423311946231564373e-01
2.087831702350026131e+00,1.441279410449143811e-03,1.529195319675192843e-01
2.119247628885922108e+00,1.702079841404837953e-03,1.630461660100994137e-01
2.150663555421818973e+00,2.003447554314094405e-03,1.725990648561114560e-01
2.182079481957718059e+00,2.350489033475441046e-03,1.814704426657362257e-01
2.213495408493615813e+00,2.748748190685252387e-03,1.895585670032480241e-01
2.244911335029512678e+00,3.204210020714163328e-03,1.967694867441931728e-01
2.276327261565409987e+00,3.723297859857279107e-03,2.030186414735365430e-01
2.307743188101307741e+00,4.312863229698061032e-03,2.082323159237284838e-01
2.339159114637205938e+00,4.980167245525958693e-03,2.123489066661949087e-01
2.370575041173103692e+00,5.732852591970433696e-03,2.153199728588311990e-01
2.401990967709001890e+00,6.578905120645761086e-03,2.171110482092800109e-01
2.433406894244899643e+00,7.526604208652742760e-03,2.177021972576802522e-01
2.464822820780797397e+00,8.584461134575220587e-03,2.170883054152142333e-01
2.496238747316695594e+00,9.761144881049959796e-03,2.152790987104481191e-01
2.527654673852593348e+00,1.106539495979167072e-02,2.122988956895763002e-01
2.559070600388491545e+00,1.250592107447516532e-02,2.081861001939877276e-01
2.590486526924389299e+00,1.409128968601567472e-02,2.029924496203741047e-01
2.621902453460287052e+00,1.582979781896873273e-02,1.967820385985834530e-01
2.653318379996185250e+00,1.772933474098774623e-02,1.896301426710084170e-01
2.684734306532083004e+00,1.979723245226423789e-02,1.816218704242241189e-01
2.716150233067981201e+00,2.204010623034564909e-02,1.728506755390547822e-01
2.747566159603878955e+00,2.446368677872378869e-02,1.634167623495041688e-01
2.778982086139776708e+00,2.707264581591922736e-02,1.534254197228135108e-01
2.810398012675674906e+00,2.987041720649099771e-02,1.429853184072142902e-01
2.841813939211572659e+00,3.285901596827797699e-02,1.322068064786387220e-01
2.873229865747470857e+00,3.603885768427861347e-02,1.212002362103945935e-01
2.904645792283368610e+00,3.940858099766465089e-02,1.100743536644804843e-01
2.936061718819266808e+00,4.296487597135723729e-02,9.893477964658099755e-02
