z,mol_u0,mol_u1
1.743583922742335313e+00,2.132520427355519786e-04,3.329940009556494468e-02
1.774999849278233288e+00,2.607207082988942924e-04,4.292180985036381929e-02
1.806415775814131042e+00,3.175163893164422032e-04,5.310001675474247673e-02
1.837831702350029017e+00,3.852214194295171495e-04,6.376630117572222589e-02
1.869247628885926993e+00,4.656383101733950957e-04,7.484206908317204976e-02
1.900663555421824968e+00,5.608115270324954800e-04,8.623855724659212907e-02
1.932079481957722944e+00,6.730498356528195111e-04,9.785778053045258995e-02
1.963495408493620697e+00,8.049489120051365500e-04,1.095937113237512583e-01
1.994911335029518673e+00,9.594138433876437918e-04,1.213336743882037633e-01
2.026327261565416649e+00,1.139681076314911232e-03,1.329599338676263343e-01
2.057743188101314402e+00,1.349339293805618470e-03,1.443514431086687644e-01
2.089159114637212600e+00,1.592348629946868698e-03,1.553857225321992608e-01
2.120575041173110353e+00,1.873057555829816872e-03,1.659408262785484200e-01
2.151990967709008551e+00,2.196216700330321479e-03,1.758973549123321600e-01
2.183406894244906304e+00,2.566988804398322339e-03,1.851404692588548839e-01
2.214822820780804058e+00,2.990953951470648117e-03,1.935618595530778085e-01
2.246238747316702256e+00,3.474109172519908913e-03,2.010616245611346609e-01
2.277654673852600009e+00,4.022861495435272640e-03,2.075500171764934343e-01
2.309070600388498207e+00,4.644013498274290538e-03,2.129490161370880263e-01
2.340486526924395960e+00,5.344740437705194740e-03,2.171936878440812457e-01
2.371902453460293714e+00,6.132558060697288101e-03,2.202333076301805359e-01
2.403318379996191911e+00,7.015280271800223427e-03,2.220322160312648285e-01
2.434734306532089665e+00,8.000965922156776794e-03,2.225703924380014465e-01
2.466150233067987863e+00,9.097854110894570273e-03,2.218437357063801352e-01
2.497566159603885616e+00,1.031428754495127866e-02,2.198640486450670339e-01
2.528982086139783370e+00,1.165862368881062650e-02,2.166587305366451388e-01
2.560398012675681567e+00,1.313913364895346811e-02,2.122701887685520539e-01
2.591813939211579321e+00,1.476388897569891334e-02,2.067549870513663568e-01
2.623229865747477518e+00,1.654063682292025370e-02,2.001827534208825143e-01
2.654645792283375272e+00,1.847666417812157680e-02,1.926348761242711871e-01
2.686061718819273469e+00,2.057865215483735757e-02,1.842030194837453450e-01
2.717477645355171223e+00,2.285252161882339594e-02,1.749874948535879160e-01
2.748893571891068976e+00,2.530327169120998032e-02,1.650955238121366297e-01
2.780309498426967174e+00,2.793481292781696199e-02,1.546394317642575955e-01
2.811725424962864928e+00,3.074979720671734001e-02,1.437348102037636077e-01
2.843141351498763125e+00,3.374944655920913972e-02,1.324986850536977179e-01
2.874557278034660879e+00,3.693338334715253607e-02,1.210477268383830102e-01
2.905973204570558632e+00,4.029946431823998310e-02,1.094965360320576259e-01
2.937389131106456830e+00,4.384362115807690502e-02,9.795603387313429888e-02
2.968805057642354583e+00,4.755971020381616343e-02,8.653198533671170589e-02
