z,hybrid_u0,hybrid_u1,hybrid_u2
3.234734306532096149e+00,1.258910195233467755e-01,-9.415182183402433236e-02,-2.113867302024135530e-01
3.266150233067994346e+00,1.003295155850721238e-01,-1.157184346935830471e-01,-2.461322860823295100e-01
3.297566159603892100e+00,7.412121482907958747e-02,-1.385396955271178954e-01,-2.814401088314026356e-01
3.328982086139789853e+00,4.731075869512840759e-02,-1.625402306878844516e-01,-3.172253205301450718e-01
3.360398012675688051e+00,1.995228492966055409e-02,-1.876250588544659814e-01,-3.533912617239851617e-01
3.391813939211585804e+00,-7.890301878019822385e-03,-2.136796710716180048e-01,-3.898289010963634227e-01
3.423229865747484002e+00,-3.614324596252434241e-02,-2.405704028204965206e-01,-4.264164284918997017e-01
3.454645792283381756e+00,-6.472305064085584481e-02,-2.681451033110525128e-01,-4.630190542175744439e-01
3.486061718819279953e+00,-9.353678750549587750e-02,-2.962341023697341869e-01,-4.994890343723306647e-01
3.517477645355177707e+00,-1.224826047041526755e-01,-3.246514703412536895e-01,-5.356659382388646584e-01
3.548893571891075460e+00,-1.514504302168891980e-01,-3.531965614231137862e-01,-5.713771695792576599e-01
3.580309498426973658e+00,-1.803228618456249044e-01,-3.816558258973630213e-01,-6.064387490838937245e-01
3.611725424962871411e+00,-2.089762315764560063e-01,-4.098048719081834879e-01,-6.406563603169882493e-01
3.643141351498769609e+00,-2.372818281543058461e-01,-4.374107528477816365e-01,-6.738266563768702255e-01
3.674557278034667362e+00,-2.651072582093175756e-01,-4.642344521451829964e-01,-7.057388192467839438e-01
3.705973204570565116e+00,-2.923179231750216434e-01,-4.900335333867861798e-01,-7.361763585590255232e-01
3.737389131106463314e+00,-3.187785866100580900e-01,-5.145649203112013792e-01,-7.649191313407393000e-01
3.768805057642361067e+00,-3.443550044376491037e-01,-5.375877683833024667e-01,-7.917455593629421085e-01
3.800220984178259265e+00,-3.689155890970686191e-01,-5.588663874232241424e-01,-8.164350160821564062e-01
3.831636910714157018e+00,-3.923330776924843222e-01,-5.781731731940398245e-01,-8.387703509486275077e-01
