z,mol_u0,mol_u1,mol_u2
1.617920216598743410e+00,3.212685388824551569e-01,1.138504154496643023e-01,2.030083003860078394e-01
1.649336143134641386e+00,3.390875746666276447e-01,1.165499558252413859e-01,2.173277542376856886e-01
1.680752069670539361e+00,3.567712197028113930e-01,1.189620916473779072e-01,2.317085707076551870e-01
1.712167996206437337e+00,3.742239673536024713e-01,1.210749977550488604e-01,2.460642173964422141e-01
1.743583922742335313e+00,3.913496372864325723e-01,1.228801348987365871e-01,2.603045846626415027e-01
1.774999849278233288e+00,4.080523632314070337e-01,1.243723918660668976e-01,2.743367488851316538e-01
1.806415775814131042e+00,4.242375952206909329e-01,1.255501718358082164e-01,2.880657932277023714e-01
1.837831702350029017e+00,4.398130998676564873e-01,1.264154189930230821e-01,3.013956757347308058e-01
1.869247628885926993e+00,4.546899417019428791e-01,1.269735816300456011e-01,3.142301326815568618e-01
1.900663555421824968e+00,4.687834283667907109e-01,1.272335083291464553e-01,3.264736034367973216e-01
1.932079481957722944e+00,4.820140026275048228e-01,1.272072744369901753e-01,3.380321617729963868e-01
1.963495408493620697e+00,4.943080646473346218e-01,1.269099369290496993e-01,3.488144376606152064e-01
1.994911335029518673e+00,5.055987088640734317e-01,1.263592169223672346e-01,3.587325131386613353e-01
2.026327261565416649e+00,5.158263610433655444e-01,1.255751104983110489e-01,3.677027758838782856e-01
2.057743188101314402e+00,5.249393026803247375e-01,1.245794300940570865e-01,3.756467145867551927e-01
2.089159114637212600e+00,5.328940718478744065e-01,1.233952804511892209e-01,3.824916411579264430e-01
2.120575041173110353e+00,5.396557318177290785e-01,1.220464749060389126e-01,3.881713260943183141e-01
2.151990967709008551e+00,5.451980012690694766e-01,1.205568996040314589e-01,3.926265349871709276e-01
2.183406894244906304e+00,5.495032426039220264e-01,1.189498349588183901e-01,3.958054561084370926e-01
2.214822820780804058e+00,5.525623077530568139e-01,1.172472453023112177e-01,3.976640112220190537e-01
2.246238747316702256e+00,5.543742438219874114e-01,1.154690491369375210e-01,3.981660441853448473e-01
2.277654673852600009e+00,5.549458639287340178e-01,1.136323836662844894e-01,3.972833844873239206e-01
2.309070600388498207e+00,5.542911915553957458e-01,1.117508783105440606e-01,3.949957855611799795e-01
2.340486526924395960e+00,5.524307896045792532e-01,1.098339526798472188e-01,3.912907404628825359e-01
2.371902453460293714e+00,5.493909880495093656e-01,1.078861549573473244e-01,3.861631802627554788e-01
2.403318379996191911e+00,5.452030265250955576e-01,1.059065568149381020e-01,3.796150632015504178e-01
2.434734306532089665e+00,5.399021303616309275e-01,1.038882208324262424e-01,3.716548652530475838e-01
2.466150233067987863e+00,5.335265403536516571e-01,1.018177559054004588e-01,3.622969851524974194e-01
2.497566159603885616e+00,5.261165179311174667e-01,9.967497530286900664e-02,3.515610791340097463e-01
2.528982086139783370e+00,5.177133483141944659e-01,9.743267087385495961e-02,3.394713425126615336e-01
