z,reference_u0,reference_u1,reference_u2
3.267256359733385074e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.295181627765294413e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.323106895797203753e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.351032163829113092e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.378957431861022431e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.406882699892931771e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.434807967924840416e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.462733235956749756e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.490658503988659095e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.518583772020568434e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.546509040052477774e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.574434308084387113e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.602359576116296452e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.630284844148205792e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.658210112180115131e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.686135380212024470e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.714060648243933810e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.741985916275842455e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.769911184307751795e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.797836452339661134e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.825761720371570473e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.853686988403479813e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.881612256435389152e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.909537524467298492e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.937462792499207831e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.965388060531117170e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.993313328563026510e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.021238596594935155e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.049163864626844495e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.077089132658753834e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.105014400690663173e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.132939668722572513e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.160864936754481852e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.188790204786391191e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.216715472818300531e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.244640740850209870e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.272566008882119210e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300491276914028549e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
