z,hybrid_u0,hybrid_u1
2.970943970478177931e+00,-3.701630984504004213e-02,-2.046086520245262441e-01
2.991872291840518727e+00,-3.496109631581861832e-02,-2.036408527507680699e-01
3.012864531837442073e+00,-3.234783073954575899e-02,-2.023699910396056234e-01
3.033921141512933239e+00,-2.916635658210035495e-02,-2.008195051954354826e-01
3.055042209586617652e+00,-2.540953522883608595e-02,-1.990134573702572740e-01
3.076227458417864380e+00,-2.107335477474663737e-02,-1.969762365382797809e-01
3.097476242875257135e+00,-1.615701125945296843e-02,-1.947322531334198525e-01
3.118787552233236671e+00,-1.066296111797934536e-02,-1.923056306567692275e-01
3.140160015178864672e+00,-4.596944099423723104e-03,-1.897199000479504738e-01
3.161591907967967519e+00,2.032023614594607400e-03,-1.869977029456066919e-01
3.183081165723298689e+00,9.211685895118035955e-03,-1.841605101086920548e-01
3.204625396818067351e+00,1.692661211934030907e-02,-1.812283612087808304e-01
3.226221900237728146e+00,2.515829055248471752e-02,-1.782196319194718492e-01
3.247867685762331647e+00,3.388524825262793916e-02,-1.751508337173994512e-01
3.269559496762684425e+00,4.308319576871620649e-02,-1.720364510769400168e-01
3.291293835356694508e+00,5.272519461828599485e-02,-1.688888198062861723e-01
3.313066989630080617e+00,6.278184528664937369e-02,-1.657180491669253686e-01
3.334875062588124717e+00,7.322149328047185268e-02,-1.625319891840376618e-01
3.356714002474448399e+00,8.401045059370762513e-02,-1.593362432434244080e-01
3.378579634069395876e+00,9.511322980157149720e-02,-1.561342247395580973e-01
3.400467690565528667e+00,1.064927878892961560e-01,-1.529272552505457072e-01
3.422373845611376808e+00,1.181107768494458338e-01,-1.497147005295997035e-01
3.444293745117193772e+00,1.299277980489186857e-01,-1.464941395742298258e-01
3.466223038428449588e+00,1.419036573800547263e-01,-1.432615612098513957e-01
3.488157408493073319e+00,1.539976182747705424e-01,-1.400115820376329201e-01
3.510092600677365393e+00,1.661686497812759622e-01,-1.367376792661458285e-01
3.532024449921614018e+00,1.783756670819054146e-01,-1.334324318762359907e-01
3.553948905968570049e+00,1.905777620672830797e-01,-1.300877637467505732e-01
3.575862056445509918e+00,2.027344218726447322e-01,-1.266951827698906685e-01
3.597760147631174021e+00,2.148057336184159005e-01,-1.232460105729674960e-01
3.619639602791521860e+00,2.267525739682923203e-01,-1.197315981945586416e-01
3.641497038021032306e+00,2.385367825104142692e-01,-1.161435238902526340e-01
3.663329275577655419e+00,2.501213183656688099e-01,-1.124737701190654388e-01
3.685133354747823997e+00,2.614703998164034093e-01,-1.087148776420699542e-01
3.706906540321865506e+00,2.725496271144991489e-01,-1.048600755113535121e-01
3.728646328798547849e+00,2.833260889574278352e-01,-1.009033865089858373e-01
3.750350452468954376e+00,2.937684534046447471e-01,-9.683970828939837683e-02
3.772016881554771217e+00,3.038470442383767733e-01,-9.266487106961274201e-02
3.793643824592430658e+00,3.135339039484573709e-01,-8.837567319339544036e-02
3.815229727264210613e+00,3.228028446411378982e-01,-8.396989626699694065e-02
3.836773269878691384e+00,3.316294882383797882e-01,-7.944630183104423038e-02
3.858273363697990455e+00,3.399912973525178184e-01,-7.480461170412168459e-02
3.879729146297497877e+00,3.478675981971000031e-01,-7.004547422044353489e-02
3.901139976127023345e+00,3.552395968355511191e-01,-6.517041859971921258e-02
3.922505426420972885e+00,3.620903899822597305e-01,-6.018179964530632337e-02
3.943825278580689098e+00,3.684049714627805616e-01,-5.508273488002190382e-02
3.965099515125531049e+00,3.741702353172539075e-01,-4.987703610951971928e-02
3.986328312281754105e+00,3.793749763989680002e-01,-4.456913726155545957e-02
4.007512032250869716e+00,3.840098891819295757e-01,-3.916402019480471480e-02
4.028651215173141509e+00,3.880675653498148470e-01,-3.366714001047956678e-02
4.049746570777683630e+00,3.915424905945803502e-01,-2.808435123970885045e-02
4.070798969689660041e+00,3.944310409062435907e-01,-2.242183612361441786e-02
4.091809434347649876e+00,3.967314784845835662e-01,-1.668603605418658015e-02
4.112779129471041628e+00,3.984439472468802590e-01,-1.088358710409718932e-02
4.133709352008486881e+00,3.995704677412442174e-01,-5.021260443062568884e-03
4.154601520495206479e+00,4.001149311006755860e-01,8.940916831887881638e-04
4.175457163747937628e+00,4.000830914875132538e-01,6.855583848787209084e-03
4.196277908833238257e+00,3.994825562816396447e-01,1.285633876338738990e-02
4.217065468256582683e+00,3.983227730605684025e-01,1.888952165638434558e-02
4.237821626336291558e+00,3.966150122097641950e-01,2.494836748121900816e-02
4.258548224748095024e+00,3.943723437942824317e-01,3.102620079636365588e-02
4.279247147251550309e+00,3.916096071282866298e-01,3.711644828963692189e-02
4.299920303639416908e+00,3.883433713104291196e-01,4.321264403070673027e-02
4.320569612983427454e+00,3.845918848666670664e-01,4.930842766504121844e-02
4.341196986284967529e+00,3.803750125761171663e-01,5.539753590274361372e-02
4.361804308674920527e+00,3.757141575697256486e-01,6.147378780744514049e-02
4.382393421343060425e+00,3.706321669048366907e-01,6.753106455235595440e-02
4.402966103411582566e+00,3.651532190482437157e-01,7.356328447863329234e-02
4.423524053998672656e+00,3.593026920581267047e-01,7.956437445956970889e-02
4.444068874744490749e+00,3.531070117466084679e-01,8.552823873434486912e-02
4.464602053091836886e+00,3.465934797253901745e-01,9.144872651675009512e-02
4.485124946625548503e+00,3.397900819715732879e-01,9.731959979562790353e-02
4.505638768776759839e+00,3.327252793719375212e-01,1.031345028122181706e-01
4.526144576189614632e+00,3.254277825721267892e-01,1.088869347134915483e-01
4.546643258027870615e+00,3.179263143229124067e-01,1.145702268301050791e-01
4.567135527467688583e+00,3.102493633222718761e-01,1.201775259068479373e-01
4.587621915580173848e+00,3.024249342408881769e-01,1.257017844207896085e-01
4.608102767755837270e+00,2.944802991337263087e-01,1.311357588626798354e-01
4.628578242763475181e+00,2.864417557354261290e-01,1.364720165406387853e-01
4.649048314471533772e+00,2.783343981798765410e-01,1.417029511083002791e-01
4.669512776193353254e+00,2.701819054608540216e-01,1.468208066430517766e-01
4.689971247552112033e+00,2.620063524679869249e-01,1.518177097273258613e-01
4.710423183699543159e+00,2.538280477179961636e-01,1.566857086410631261e-01
4.730867886667740940e+00,2.456654010004811484e-01,1.614168184786314852e-01
4.751304518587771142e+00,2.375348231292672141e-01,1.660030707767173042e-01
4.771732116474092678e+00,2.294506589008183384e-01,1.704365660932934123e-01
4.792149608250728221e+00,2.214251532776990439e-01,1.747095279173185023e-01
4.812555829684568742e+00,2.134684497994630281e-01,1.788143563131191216e-01
4.832949541891721879e+00,2.055886193278896046e-01,1.827436798046976618e-01
4.853329449094155201e+00,1.977917164959822616e-01,1.864904041710753746e-01
4.873694216324292228e+00,1.900818606736073280e-01,1.900477570381226278e-01
4.894042486802391068e+00,1.824613378947901043e-01,1.934093273975063809e-01
4.914372898744315599e+00,1.749307200063359158e-01,1.965690994420021820e-01
4.934684101393006728e+00,1.674889972778934311e-01,1.995214803624346667e-01
4.954974770104333182e+00,1.601337208351054919e-01,2.022613219915759264e-01
4.975243620354750540e+00,1.528611515112242580e-01,2.047839363941738600e-01
4.995489420574039663e+00,1.456664120277449403e-01,2.070851056832090642e-01
5.015711003739126816e+00,1.385436397823057442e-01,2.091610864866817743e-01
5.035907277694866124e+00,1.314861379154984022e-01,2.110086095961243857e-01
5.056077234193851133e+00,1.244865227251673728e-01,2.126248753990230556e-01
5.076219956669243416e+00,1.175368658796188265e-01,2.140075457356218624e-01
