z,mol_u0,mol_u1
3.403392041388942246e+00,1.136556719678911698e-01,-1.508712739133891145e-01
3.424335992412874230e+00,1.243580712692722856e-01,-1.478093735440310363e-01
3.445279943436805770e+00,1.352031797898655407e-01,-1.447369353852622220e-01
3.466223894460737753e+00,1.461595717942655581e-01,-1.416504996409841399e-01
3.487167845484669737e+00,1.571955899211388841e-01,-1.385455278848846672e-01
3.508111796508601721e+00,1.682794630739523900e-01,-1.354165704711789431e-01
3.529055747532533704e+00,1.793794200611275591e-01,-1.322574370078752060e-01
3.549999698556465688e+00,1.904637989050553537e-01,-1.290613668488096444e-01
3.570943649580397672e+00,2.015011517642453232e-01,-1.258211967737677961e-01
3.591887600604329656e+00,2.124603454396963853e-01,-1.225295232880003610e-01
3.612831551628261639e+00,2.233106574666579025e-01,-1.191788572723521816e-01
3.633775502652193623e+00,2.340218678265929553e-01,-1.157617690415494588e-01
3.654719453676125607e+00,2.445643463508128945e-01,-1.122710222094617238e-01
3.675663404700057590e+00,2.549091359256339118e-01,-1.086996951054727684e-01
3.696607355723989574e+00,2.650280316472654052e-01,-1.050412888255684574e-01
3.717551306747921558e+00,2.748936561109471821e-01,-1.012898213268351028e-01
3.738495257771853097e+00,2.844795310510003228e-01,-9.743990727778099881e-02
3.759439208795785081e+00,2.937601455744883738e-01,-9.348682365394371530e-02
3.780383159819717065e+00,3.027110212493561159e-01,-8.942656131498505356e-02
3.801327110843649049e+00,3.113087743168641008e-01,-8.525586301383580867e-02
3.822271061867581032e+00,3.195311752968522101e-01,-8.097224846978105794e-02
3.843215012891513016e+00,3.273572062422724360e-01,-7.657402728620113508e-02
3.864158963915445000e+00,3.347671158762666188e-01,-7.206030061151236232e-02
3.885102914939376983e+00,3.417424728109262899e-01,-6.743095253089889662e-02
3.906046865963308967e+00,3.482662170020610071e-01,-6.268663223940930396e-02
3.926990816987240951e+00,3.543227095393292614e-01,-5.782872808689664551e-02
3.947934768011172935e+00,3.598977808065815243e-01,-5.285933460519672000e-02
3.968878719035104918e+00,3.649787769739184506e-01,-4.778121363089383317e-02
3.989822670059036902e+00,3.695546047015664803e-01,-4.259775062585791083e-02
4.010766621082969330e+00,3.736157738470443079e-01,-3.731290727501102716e-02
4.031710572106900869e+00,3.771544378721725654e-01,-3.193117140870220527e-02
4.052654523130833297e+00,3.801644315463786894e-01,-2.645750525742771031e-02
4.073598474154764837e+00,3.826413054388060897e-01,-2.089729300080957891e-02
4.094542425178697265e+00,3.845823565856711923e-01,-1.525628852162071343e-02
4.115486376202628804e+00,3.859866546132812992e-01,-9.540564219737691226e-03
4.136430327226561232e+00,3.868550624939090521e-01,-3.756461680211649161e-03
4.157374278250492772e+00,3.871902510147448018e-01,2.089455076086224605e-03
4.178318229274425200e+00,3.869967059536245646e-01,7.990443102249483037e-03
4.199262180298356739e+00,3.862807268841222386e-01,1.393962021652145160e-02
4.220206131322288279e+00,3.850504164825819253e-01,1.993000038131384835e-02
4.241150082346220707e+00,3.833156591870133800e-01,2.595452437027866502e-02
4.262094033370152246e+00,3.810880880690492578e-01,3.200608542648522570e-02
4.283037984394084674e+00,3.783810388319239770e-01,3.807754972687606848e-02
4.303981935418016214e+00,3.752094899457280586e-01,4.416177158927811486e-02
4.324925886441948641e+00,3.715899880809780398e-01,5.025160348729282300e-02
4.345869837465880181e+00,3.675405582061551657e-01,5.633990107335006686e-02
4.366813788489812609e+00,3.630805979752039780e-01,6.241952354816831389e-02
4.387757739513744148e+00,3.582307563451431198e-01,6.848332985174741816e-02
4.408701690537676576e+00,3.530127967264776179e-01,7.452417128194348261e-02
4.429645641561608116e+00,3.474494453710021968e-01,8.053488126585632567e-02
4.450589592585540544e+00,3.415642261300128601e-01,8.650826311058995577e-02
4.471533543609472083e+00,3.353812831547536844e-01,9.243707663714066658e-02
4.492477494633403623e+00,3.289251935411210415e-01,9.831402464851071721e-02
4.513421445657336051e+00,3.222207723215759767e-01,1.041317401957947558e-01
4.534365396681267590e+00,3.152928725576485958e-01,1.098827755807205292e-01
4.555309347705200018e+00,3.081661835662090621e-01,1.155595939686311913e-01
4.576253298729131558e+00,3.008650305042200879e-01,1.211545643832052377e-01
4.597197249753063986e+00,2.934131786263328712e-01,1.266599607168446551e-01
4.618141200776995525e+00,2.858336455091478601e-01,1.320679652244648172e-01
4.639085151800927953e+00,2.781485244028591985e-01,1.373706767814244778e-01
4.660029102824859493e+00,2.703788216295572866e-01,1.425601239880391613e-01
4.680973053848791920e+00,2.625443106079418110e-01,1.476282830040213101e-01
4.701917004872723460e+00,2.546634046625589898e-01,1.525670998067658324e-01
4.722860955896655888e+00,2.467530502920401159e-01,1.573685163975427626e-01
4.743804906920587428e+00,2.388286420483075323e-01,1.620245003376938886e-01
4.764748857944519855e+00,2.309039596414370343e-01,1.665270768892667674e-01
4.785692808968451395e+00,2.229911273565527152e-01,1.708683629650253055e-01
4.806636759992382935e+00,2.151005953712795404e-01,1.750406020628321180e-01
4.827580711016315362e+00,2.072411421132331621e-01,1.790361993677886954e-01
4.848524662040246902e+00,1.994198964107694316e-01,1.828477562488731445e-01
4.869468613064179330e+00,1.916423778762012253e-01,1.864681034499241219e-01
4.890412564088110869e+00,1.839125537235890284e-01,1.898903323712559377e-01
4.911356515112043297e+00,1.762329100632439860e-01,1.931078239508841887e-01
4.932300466135974837e+00,1.686045356287256269e-01,1.961142747760739324e-01
4.953244417159907265e+00,1.610272158726161751e-01,1.989037201799243593e-01
4.974188368183838804e+00,1.534995354058906469e-01,2.014705541979059655e-01
4.995132319207771232e+00,1.460189868419344839e-01,2.038095463707050858e-01
5.016076270231702772e+00,1.385820842294521738e-01,2.059158554785519013e-01
5.037020221255635199e+00,1.311844794078974585e-01,2.077850403758328968e-01
5.057964172279566739e+00,1.238210797847252020e-01,2.094130681617377143e-01
5.078908123303498279e+00,1.164861662067306208e-01,2.107963199725593761e-01
5.099852074327430707e+00,1.091735097705133772e-01,2.119315947144731482e-01
5.120796025351362246e+00,1.018764865835094513e-01,2.128161110732870731e-01
5.141739976375294674e+00,9.458818964248286165e-02,2.134475081413659547e-01
5.162683927399226214e+00,8.730153713762731083e-02,2.138238449935811192e-01
5.183627878423158641e+00,8.000937661549525903e-02,2.139435995257772671e-01
5.204571829447090181e+00,7.270458454205185050e-02,2.138056668429416385e-01
5.225515780471022609e+00,6.538016089822375199e-02,2.134093574520045666e-01
5.246459731494954148e+00,5.802931851524240764e-02,2.127543954778437496e-01
5.267403682518886576e+00,5.064556691712607944e-02,2.118409170822598275e-01
5.288347633542818116e+00,4.322279048460980072e-02,2.106694692258905266e-01
5.309291584566750544e+00,3.575532079061219393e-02,2.092410088734427687e-01
5.330235535590682083e+00,2.823800298409884224e-02,2.075569027042659664e-01
5.351179486614614511e+00,2.066625611900708287e-02,2.056189273539480999e-01
5.372123437638546051e+00,1.303612733987964852e-02,2.034292701789227054e-01
5.393067388662477590e+00,5.344339847875968254e-03,2.009905305054597302e-01
5.414011339686410018e+00,-2.411665418264369223e-03,1.983057212972052785e-01
5.434955290710341558e+00,-1.023369444045234278e-02,1.953782711517987880e-01
5.455899241734273986e+00,-1.812277115981177772e-02,1.922120265171297915e-01
5.476843192758205525e+00,-2.607911492091345013e-02,1.888112540014931784e-01
5.497787143782137953e+00,-3.410212432769183649e-02,1.851806426391758575e-01
5.518731094806069493e+00,-4.219036749361328165e-02,1.813253059637521258e-01
5.539675045830001920e+00,-5.034157864095661905e-02,1.772507837353718974e-01
5.560618996853933460e+00,-5.855266097203885856e-02,1.729630431654143596e-01
5.581562947877865888e+00,-6.681969569924274543e-02,1.684684794817745968e-01
5.602506898901797427e+00,-7.513795708120893369e-02,1.637739156805292084e-01
