z,reference_u0,reference_u1
2.538406864100552565e-02,-2.358927019937302402e-02,1.882637603291933137e-01
2.550973234714911872e-02,-2.370805025679024319e-02,1.881590820397519570e-01
2.563539605329270832e-02,-2.382685556950598499e-02,1.880539549635827645e-01
2.576105975943630139e-02,-2.394568612576588110e-02,1.879483792922556074e-01
2.588672346557989445e-02,-2.406454191359273798e-02,1.878423552180518985e-01
2.601238717172348405e-02,-2.418342292078661318e-02,1.877358829339652591e-01
2.613805087786707712e-02,-2.430232913492496108e-02,1.876289626337020455e-01
2.626371458401066672e-02,-2.442126054336275082e-02,1.875215945116819050e-01
2.638937829015425979e-02,-2.454021713323257040e-02,1.874137787630386631e-01
2.651504199629785286e-02,-2.465919889144475505e-02,1.873055155836206298e-01
2.664070570244144245e-02,-2.477820580468751213e-02,1.871968051699913205e-01
2.676636940858503552e-02,-2.489723785942702869e-02,1.870876477194303167e-01
2.689203311472862512e-02,-2.501629504190761022e-02,1.869780434299334326e-01
2.701769682087221819e-02,-2.513537733815180211e-02,1.868679925002136866e-01
2.714336052701581126e-02,-2.525448473396049373e-02,1.867574951297019115e-01
2.726902423315940086e-02,-2.537361721491307454e-02,1.866465515185471158e-01
2.739468793930299392e-02,-2.549277476636754511e-02,1.865351618676174827e-01
2.752035164544658352e-02,-2.561195737346064899e-02,1.864233263785006756e-01
2.764601535159017659e-02,-2.573116502110799411e-02,1.863110452535046424e-01
2.777167905773376966e-02,-2.585039769400418463e-02,1.861983186956582825e-01
2.789734276387735926e-02,-2.596965537662297013e-02,1.860851469087118903e-01
2.802300647002095232e-02,-2.608893805321734968e-02,1.859715300971380159e-01
2.814867017616454192e-02,-2.620824570781972451e-02,1.858574684661319920e-01
2.827433388230813499e-02,-2.632757832424201597e-02,1.857429622216125453e-01
2.839999758845172806e-02,-2.644693588607582510e-02,1.856280115702224898e-01
2.852566129459531766e-02,-2.656631837669254370e-02,1.855126167193294207e-01
2.865132500073891073e-02,-2.668572577924350347e-02,1.853967778770262143e-01
2.877698870688250379e-02,-2.680515807666010789e-02,1.852804952521318049e-01
2.890265241302609339e-02,-2.692461525165397787e-02,1.851637690541917680e-01
2.902831611916968646e-02,-2.704409728671708715e-02,1.850465994934790415e-01
2.915397982531327606e-02,-2.716360416412190101e-02,1.849289867809945087e-01
2.927964353145686913e-02,-2.728313586592153242e-02,1.848109311284675815e-01
