z,hybrid_u0,hybrid_u1,hybrid_u2
3.737389131106462870e+00,-4.160230060372052674e-01,9.176457597260055665e-02,-7.510757202445365877e-02
3.768805057642360623e+00,-4.344977714743178954e-01,1.210578949867806425e-01,-9.011568365694617999e-02
3.800220984178259265e+00,-4.516723107465940856e-01,1.495987604368008983e-01,-1.048857278837881241e-01
3.831636910714157018e+00,-4.675128856181803294e-01,1.772132444821149511e-01,-1.192389326388252901e-01
3.863052837250054772e+00,-4.819920975908890681e-01,2.037355143989187101e-01,-1.329952312904018330e-01
3.894468763785952525e+00,-4.950889205783834957e-01,2.290092402008293559e-01,-1.459757659407789621e-01
3.925884690321850279e+00,-5.067886930497146336e-01,2.528888975426587526e-01,-1.580054551247411787e-01
3.957300616857748921e+00,-5.170830704346925932e-01,2.752409521537637627e-01,-1.689155850946094106e-01
3.988716543393646674e+00,-5.259699388934815367e-01,2.959449136061617081e-01,-1.785463822186822425e-01
4.020132469929545316e+00,-5.334532918468838369e-01,3.148942479315899878e-01,-1.867495231233437525e-01
4.051548396465442181e+00,-5.395430709393913560e-01,3.319971404349635336e-01,-1.933905391152770659e-01
4.082964323001338158e+00,-5.442549733618495811e-01,3.471771019816805026e-01,-1.983510721528908005e-01
4.114380249537235912e+00,-5.476102276923591194e-01,3.603734140339958092e-01,-2.015309412014921753e-01
4.145796176073132777e+00,-5.496353406210371384e-01,3.715414097476659738e-01,-2.028499801936016478e-01
4.177212102609029643e+00,-5.503618171049450281e-01,3.806525904844525465e-01,-2.022496119949150351e-01
4.208628029144925620e+00,-5.498258566526820212e-01,3.876945791192175084e-01,-1.996941267009855192e-01
4.240043955680822485e+00,-5.480680285629854209e-01,3.926709134935162382e-01,-1.951716371960724450e-01
4.271459882216720239e+00,-5.451329290376267789e-01,3.956006852630997161e-01,-1.886946901142599886e-01
4.302875808752617104e+00,-5.410688231557702066e-01,3.965180311786734579e-01,-1.803005160600779921e-01
4.334291735288513081e+00,-5.359272747348567956e-01,3.954714855036737253e-01,-1.700509090651462496e-01
4.365707661824409946e+00,-5.297627671124566229e-01,3.925232037882313008e-01,-1.580317316622124324e-01
4.397123588360306812e+00,-5.226323178651113288e-01,3.877480695660979748e-01,-1.443520485239077056e-01
4.428539514896204565e+00,-5.145950904349742006e-01,3.812326967053030202e-01,-1.291428982109753820e-01
4.459955441432100542e+00,-5.057120055643519185e-01,3.730743411110470920e-01,-1.125557190717150491e-01
4.491371367967997408e+00,-4.960453553435313911e-01,3.633797362414859511e-01,-9.476045159951695940e-02
4.522787294503894273e+00,-4.856584225603098881e-01,3.522638674477026055e-01,-7.594334546088830906e-02
4.554203221039791138e+00,-4.746151079023039898e-01,3.398487004857254079e-01,-5.630450483080328555e-02
4.585619147575688892e+00,-4.629795674075012357e-01,3.262618796718220748e-01,-3.605521050345082690e-02
4.617035074111584869e+00,-4.508158623868106507e-01,3.116354110665244814e-01,-1.541506138399497197e-02
4.648451000647481735e+00,-4.381876238568608306e-01,2.961043457851493255e-01,5.391018675521104357e-03
4.679866927183378600e+00,-4.251577333243742873e-01,2.798054780531050723e-01,2.613586022571794815e-02
4.711282853719275465e+00,-4.117880215574569180e-01,2.628760719657065592e-01,4.659316368009433496e-02
4.742698780255171442e+00,-3.981389867665536819e-01,2.454526300897804381e-01,6.654060014315960059e-02
4.774114706791070084e+00,-3.842695334009571528e-01,2.276697160751167404e-01,8.576284714617588012e-02
4.805530633326967838e+00,-3.702367325480048765e-01,2.096588423467398155e-01,1.040545100568492781e-01
4.836946559862865591e+00,-3.560956047036417105e-01,1.915474327441418212e-01,1.212228820742508872e-01
4.868362486398763345e+00,-3.418989254671406797e-01,1.734578686823216032e-01,1.370904987380446027e-01
4.899778412934661098e+00,-3.276970545013712655e-01,1.555066260532581568e-01,1.514974467084220511e-01
4.931194339470559740e+00,-3.135377878950866282e-01,1.378035086873661830e-01,1.643033911296097327e-01
4.962610266006457493e+00,-2.994662338669766832e-01,1.204509827741987449e-01,1.753892910803829253e-01
4.994026192542355247e+00,-2.855247115642744471e-01,1.035436152214058159e-01,1.846587783319044718e-01
5.025442119078253000e+00,-2.717526725329543758e-01,8.716761753112853284e-02,1.920391807584045374e-01
